,X,Y,Z,W
0, 0.691641, 0.459212, 0.584277, 0.157029
1, 0.968169, 0.912015, 0.176397, 0.333111
2, 0.448256, 0.878536, 0.0275887, 0.375937
3, 0.228919, 0.274392, 0.904111, 0.0465851
4, 0.0736412, 0.818293, 0.0367748, 0.372551
5, 0.886837, 0.731773, 0.777032, 0.156895
6, 0.105502, 0.613483, 0.450728, 0.222995
7, 0.831538, 0.583148, 0.430952, 0.223944
8, 0.725455, 0.390179, 0.0652791, 0.345974
9, 0.590258, 0.190283, 0.888333, 0.0320036
10, 0.730857, 0.599933, 0.683157, 0.159307
11, 0.220893, 0.168889, 0.370983, 0.12518
12, 0.936552, 0.294351, 0.848109, 0.0626591
13, 0.433576, 0.0517899, 0.228919, 0.0937623
14, 0.634754, 0.00750755, 0.412885, 0.0387513
15, 0.242561, 0.266182, 0.207587, 0.234952
16, 0.195593, 0.747673, 0.185278, 0.321929
17, 0.164586, 0.129032, 0.692129, 0.0492449
18, 0.642689, 0.343883, 0.665273, 0.111381
19, 0.675619, 0.472732, 0.842494, 0.0994817
20, 0.213019, 0.872463, 0.44966, 0.255201
21, 0.945647, 0.592761, 0.292642, 0.27039
22, 0.629902, 0.724754, 0.368084, 0.262574
23, 0.411878, 0.587146, 0.957396, 0.0883742
24, 0.21073, 0.701682, 0.946043, 0.108855
25, 0.150792, 0.954894, 0.0917386, 0.358399
26, 0.12122, 0.950316, 0.497085, 0.25026
27, 0.894742, 0.66747, 0.713614, 0.162764
28, 0.198431, 0.225288, 0.147465, 0.256015
29, 0.532365, 0.944517, 0.444624, 0.262903
30, 0.923521, 0.482315, 0.520188, 0.178927
31, 0.661489, 0.779107, 0.383312, 0.26403
32, 0.454909, 0.821253, 0.777123, 0.168612
33, 0.849971, 0.995025, 0.413953, 0.274553
34, 0.260323, 0.915036, 0.359142, 0.282767
35, 0.332957, 0.400861, 0.00601215, 0.380762
36, 0.933287, 0.914945, 0.204657, 0.325222
37, 0.556627, 0.561327, 0.693075, 0.150246
38, 0.377483, 0.0342112, 0.587817, 0.0329235
39, 0.894131, 0.958129, 0.664541, 0.210681
40, 0.808588, 0.211158, 0.125828, 0.266109
41, 0.635029, 0.986053, 0.882656, 0.161064
42, 0.0875271, 0.057741, 0.0852992, 0.179657
43, 0.609607, 0.451613, 0.473434, 0.185526
44, 0.886929, 0.341868, 0.993927, 0.0312285
45, 0.177862, 0.133, 0.464797, 0.0878212
46, 0.22309, 0.151555, 0.862972, 0.0280567
47, 0.417432, 0.650563, 0.874447, 0.12131
